id,grupo,sigla,regla,impacto,criterio,principio,nivel,nodos,ayuda
46,ecuador,USFQ,color-contrast,serious,1.4.3,Perceptible,AA,15,Elements must meet minimum color contrast ratio thresholds
46,ecuador,USFQ,image-alt,critical,1.1.1,Perceptible,A,2,Images must have alternative text
46,ecuador,USFQ,aria-allowed-attr,critical,4.1.2,Robusto,A,1,Elements must only use supported ARIA attributes
46,ecuador,USFQ,link-name,serious,2.4.4,Operable,A,1,Links must have discernible text
46,ecuador,USFQ,target-size,serious,2.5.8,Operable,AA,1,"All touch targets must be 24px large, or leave sufficient space"
47,ecuador,UDLA,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,32,Elements must meet enhanced color contrast ratio thresholds
47,ecuador,UDLA,color-contrast,serious,1.4.3,Perceptible,AA,7,Elements must meet minimum color contrast ratio thresholds
47,ecuador,UDLA,button-name,critical,4.1.2,Robusto,A,6,Buttons must have discernible text
47,ecuador,UDLA,link-name,serious,2.4.4,Operable,A,6,Links must have discernible text
47,ecuador,UDLA,label,critical,4.1.2,Robusto,A,1,Form elements must have labels
47,ecuador,UDLA,list,serious,1.3.1,Perceptible,A,1,"<ul> and <ol> must only directly contain <li>, <script> or <template> elements"
48,ecuador,UIDE,link-name,serious,2.4.4,Operable,A,11,Links must have discernible text
48,ecuador,UIDE,target-size,serious,2.5.8,Operable,AA,10,"All touch targets must be 24px large, or leave sufficient space"
48,ecuador,UIDE,aria-allowed-attr,critical,4.1.2,Robusto,A,7,Elements must only use supported ARIA attributes
48,ecuador,UIDE,button-name,critical,4.1.2,Robusto,A,5,Buttons must have discernible text
48,ecuador,UIDE,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,3,Elements must meet enhanced color contrast ratio thresholds
48,ecuador,UIDE,select-name,critical,4.1.2,Robusto,A,3,Select element must have an accessible name
48,ecuador,UIDE,color-contrast,serious,1.4.3,Perceptible,AA,2,Elements must meet minimum color contrast ratio thresholds
48,ecuador,UIDE,link-in-text-block,serious,1.4.1,Perceptible,A,2,Links must be distinguishable without relying on color
48,ecuador,UIDE,aria-hidden-focus,serious,4.1.2,Robusto,A,1,ARIA hidden element must not be focusable or contain focusable elements
48,ecuador,UIDE,aria-required-children,critical,1.3.1,Perceptible,A,1,Certain ARIA roles must contain particular children
49,ecuador,UNIANDES,color-contrast,serious,1.4.3,Perceptible,AA,11,Elements must meet minimum color contrast ratio thresholds
49,ecuador,UNIANDES,link-name,serious,2.4.4,Operable,A,5,Links must have discernible text
49,ecuador,UNIANDES,target-size,serious,2.5.8,Operable,AA,4,"All touch targets must be 24px large, or leave sufficient space"
49,ecuador,UNIANDES,aria-allowed-attr,critical,4.1.2,Robusto,A,2,Elements must only use supported ARIA attributes
50,ecuador,UPACÍFICO,color-contrast,serious,1.4.3,Perceptible,AA,21,Elements must meet minimum color contrast ratio thresholds
50,ecuador,UPACÍFICO,link-name,serious,2.4.4,Operable,A,4,Links must have discernible text
51,ecuador,UTI,link-name,serious,2.4.4,Operable,A,8,Links must have discernible text
51,ecuador,UTI,color-contrast,serious,1.4.3,Perceptible,AA,6,Elements must meet minimum color contrast ratio thresholds
51,ecuador,UTI,target-size,serious,2.5.8,Operable,AA,4,"All touch targets must be 24px large, or leave sufficient space"
51,ecuador,UTI,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,1,Elements must meet enhanced color contrast ratio thresholds
51,ecuador,UTI,image-alt,critical,1.1.1,Perceptible,A,1,Images must have alternative text
52,ecuador,Casa Grande,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,10,Elements must meet enhanced color contrast ratio thresholds
53,ecuador,UTEG,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,9,Elements must meet enhanced color contrast ratio thresholds
53,ecuador,UTEG,color-contrast,serious,1.4.3,Perceptible,AA,8,Elements must meet minimum color contrast ratio thresholds
53,ecuador,UTEG,link-name,serious,2.4.4,Operable,A,8,Links must have discernible text
53,ecuador,UTEG,image-alt,critical,1.1.1,Perceptible,A,6,Images must have alternative text
53,ecuador,UTEG,aria-allowed-attr,critical,4.1.2,Robusto,A,1,Elements must only use supported ARIA attributes
53,ecuador,UTEG,link-in-text-block,serious,1.4.1,Perceptible,A,1,Links must be distinguishable without relying on color
53,ecuador,UTEG,target-size,serious,2.5.8,Operable,AA,1,"All touch targets must be 24px large, or leave sufficient space"
54,ecuador,UISRAEL,color-contrast,serious,1.4.3,Perceptible,AA,44,Elements must meet minimum color contrast ratio thresholds
54,ecuador,UISRAEL,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,15,Elements must meet enhanced color contrast ratio thresholds
54,ecuador,UISRAEL,role-img-alt,serious,1.1.1,Perceptible,A,9,"[role=""img""] and [role=""image""] elements must have alternative text"
54,ecuador,UISRAEL,link-name,serious,2.4.4,Operable,A,6,Links must have discernible text
54,ecuador,UISRAEL,target-size,serious,2.5.8,Operable,AA,3,"All touch targets must be 24px large, or leave sufficient space"
54,ecuador,UISRAEL,aria-allowed-attr,critical,4.1.2,Robusto,A,1,Elements must only use supported ARIA attributes
55,ecuador,UDET,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,13,Elements must meet enhanced color contrast ratio thresholds
55,ecuador,UDET,link-name,serious,2.4.4,Operable,A,11,Links must have discernible text
55,ecuador,UDET,color-contrast,serious,1.4.3,Perceptible,AA,7,Elements must meet minimum color contrast ratio thresholds
55,ecuador,UDET,select-name,critical,4.1.2,Robusto,A,3,Select element must have an accessible name
55,ecuador,UDET,label,critical,4.1.2,Robusto,A,1,Form elements must have labels
55,ecuador,UDET,meta-viewport,moderate,1.4.4,Perceptible,AA,1,Zooming and scaling must not be disabled
56,ecuador,UMET,color-contrast,serious,1.4.3,Perceptible,AA,11,Elements must meet minimum color contrast ratio thresholds
56,ecuador,UMET,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,6,Elements must meet enhanced color contrast ratio thresholds
56,ecuador,UMET,link-name,serious,2.4.4,Operable,A,1,Links must have discernible text
57,ecuador,U. Otavalo,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,6,Elements must meet enhanced color contrast ratio thresholds
57,ecuador,U. Otavalo,aria-hidden-focus,serious,4.1.2,Robusto,A,2,ARIA hidden element must not be focusable or contain focusable elements
58,ecuador,USGP,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,11,Elements must meet enhanced color contrast ratio thresholds
58,ecuador,USGP,color-contrast,serious,1.4.3,Perceptible,AA,9,Elements must meet minimum color contrast ratio thresholds
58,ecuador,USGP,link-name,serious,2.4.4,Operable,A,6,Links must have discernible text
58,ecuador,USGP,frame-title,serious,4.1.2,Robusto,A,2,Frames must have an accessible name
58,ecuador,USGP,target-size,serious,2.5.8,Operable,AA,2,"All touch targets must be 24px large, or leave sufficient space"
58,ecuador,USGP,button-name,critical,4.1.2,Robusto,A,1,Buttons must have discernible text
58,ecuador,USGP,image-alt,critical,1.1.1,Perceptible,A,1,Images must have alternative text
58,ecuador,USGP,label,critical,4.1.2,Robusto,A,1,Form elements must have labels
58,ecuador,USGP,list,serious,1.3.1,Perceptible,A,1,"<ul> and <ol> must only directly contain <li>, <script> or <template> elements"
59,ecuador,U. Hemisferios,link-name,serious,2.4.4,Operable,A,53,Links must have discernible text
59,ecuador,U. Hemisferios,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,11,Elements must meet enhanced color contrast ratio thresholds
