grupo,abbr,indicador,columna_apendice,valor,corregida_reverificacion
ecuador,UCE,marco_normativo,LOPDP,no,no
ecuador,UCE,derechos,Rights,no,no
ecuador,UCE,contacto_dpo,DPO,no,no
ecuador,UCE,declaracion_accesibilidad,Acc.,no,no
ecuador,UCE,transparencia_lotaip,Transp.,si,no
ecuador,UCuenca,aviso_privacidad,Notice,si,no
ecuador,UCuenca,marco_normativo,LOPDP,si,no
ecuador,UCuenca,derechos,Rights,si,no
ecuador,UCuenca,contacto_dpo,DPO,no,no
ecuador,UCuenca,declaracion_accesibilidad,Acc.,no,no
ecuador,UCuenca,transparencia_lotaip,Transp.,si,no
ecuador,UG,aviso_privacidad,Notice,si,no
ecuador,UG,marco_normativo,LOPDP,si,no
ecuador,UG,derechos,Rights,si,no
ecuador,UG,contacto_dpo,DPO,si,no
ecuador,UG,declaracion_accesibilidad,Acc.,no,no
ecuador,UG,transparencia_lotaip,Transp.,si,no
ecuador,UNL,aviso_privacidad,Notice,no,no
ecuador,UNL,marco_normativo,LOPDP,no,no
ecuador,UNL,derechos,Rights,no,no
ecuador,UNL,contacto_dpo,DPO,no,no
ecuador,UNL,declaracion_accesibilidad,Acc.,no,no
ecuador,UNL,transparencia_lotaip,Transp.,si,no
ecuador,UAE,aviso_privacidad,Notice,no,no
ecuador,UAE,marco_normativo,LOPDP,no,no
ecuador,UAE,derechos,Rights,no,no
ecuador,UAE,contacto_dpo,DPO,no,no
ecuador,UAE,declaracion_accesibilidad,Acc.,no,no
ecuador,UAE,transparencia_lotaip,Transp.,si,no
ecuador,UTA,aviso_privacidad,Notice,si,no
ecuador,UTA,marco_normativo,LOPDP,nv,no
ecuador,UTA,derechos,Rights,nv,no
ecuador,UTA,contacto_dpo,DPO,nv,no
ecuador,UTA,declaracion_accesibilidad,Acc.,nv,no
ecuador,UTA,transparencia_lotaip,Transp.,si,no
ecuador,UTB,aviso_privacidad,Notice,si,no
ecuador,UTB,marco_normativo,LOPDP,si,no
ecuador,UTB,derechos,Rights,si,no
ecuador,UTB,contacto_dpo,DPO,si,no
ecuador,UTB,declaracion_accesibilidad,Acc.,no,no
ecuador,UTB,transparencia_lotaip,Transp.,si,no
ecuador,UTC,aviso_privacidad,Notice,si,no
